Year,kms Driven,Fuel Type,Suspension,Price,Car Model
2015,"81506 kms "," CNG "," Manual",4.21,Honda Amaze S Plus i-VTEC
2019,"23561 kms "," Diesel "," Manual",11.0,Honda BR-V i-DTEC V MT
2014,"27961 kms "," Diesel "," Manual",4.22,Honda Amaze S i-Dtech
2021,"28183 kms "," Diesel "," Manual",8.5,Honda Amaze S Diesel
2015,"28451 kms "," Diesel "," Manual",7.0,Honda City i DTEC VX
2019,"30000 kms "," Diesel "," Manual",6.5,Honda Amaze S Diesel BSIV
2017,"31000 kms "," Diesel "," Manual",9.75,Honda City i-DTEC ZX
2015,"32495 kms "," Diesel "," Manual",6.09,Honda Jazz 1.5 VX i DTEC
2020,"33174 kms "," Diesel "," Manual",9.2,Honda WR-V i-DTEC VX
2018,"33694 kms "," Diesel "," Manual",6.49,Honda Amaze V Diesel
2016,"35000 kms "," Diesel "," Manual",6.2,Honda Jazz 1.5 VX i DTEC
2016,"35000 kms "," Diesel "," Manual",6.2,Honda Jazz 1.5 VX i DTEC
2015,"35341 kms "," Diesel "," Manual",3.0,Honda Amaze S i-Dtech
2015,"35341 kms "," Diesel "," Manual",3.0,Honda Amaze S i-Dtech
2016,"39000 kms "," Diesel "," Manual",6.1,Honda City i DTEC V
2016,"40000 kms "," Diesel "," Manual",5.1,Honda Amaze VX i-DTEC
2018,"40000 kms "," Diesel "," Manual",7.15,Honda WR-V i-DTEC VX
2017,"40000 kms "," Diesel "," Manual",4.9,Honda Amaze S Option i-DT
2019,"40000 kms "," Diesel "," Manual",10.9,Honda City i-DTEC VX
2016,"41163 kms "," Diesel "," Manual",6.5,Honda BR-V i-DTEC V MT
2014,"41576 kms "," Diesel "," Manual",4.5,Honda City i DTEC SV
2017,"42000 kms "," Diesel "," Manual",7.4,Honda BR-V i-DTEC S MT
2019,"42240 kms "," Diesel "," Manual",8.0,Honda City i-DTEC V
2017,"43741 kms "," Diesel "," Manual",6.5,Honda WR-V i-DTEC VX
2018,"44255 kms "," Diesel "," Manual",6.2,Honda WR-V i-DTEC VX
2014,"44901 kms "," Diesel "," Manual",3.0,Honda City i DTEC SV
2015,"47091 kms "," Diesel "," Manual",3.98,Honda Jazz 1.5 S i DTEC
2015,"47438 kms "," Diesel "," Manual",4.85,Honda City i DTEC V
2013,"48647 kms "," Diesel "," Manual",3.2,Honda Amaze S i-Dtech
2015,"49970 kms "," Diesel "," Manual",6.5,Honda City i DTEC VX
2018,"50000 kms "," Diesel "," Manual",6.1,Honda Amaze VX Diesel BSI
2015,"50000 kms "," Diesel "," Manual",5.55,Honda City i DTEC S
2017,"50000 kms "," Diesel "," Manual",7.5,Honda WR-V i-DTEC VX
2016,"50000 kms "," Diesel "," Manual",4.25,Honda Jazz 1.5 V i DTEC
2016,"50393 kms "," Diesel "," Manual",5.5,Honda City i DTec SV
2015,"50500 kms "," Diesel "," Manual",6.49,Honda City i DTec V
2016,"52456 kms "," Diesel "," Manual",5.6,Honda Jazz 1.5 SV i DTEC
2015,"53000 kms "," Diesel "," Manual",3.3,Honda Amaze S i-Dtech
2019,"54000 kms "," Diesel "," Manual",9.9,Honda City i-DTEC VX
2013,"54000 kms "," Diesel "," Manual",4.65,Honda Amaze S i-Dtech
2018,"54000 kms "," Diesel "," Manual",8.25,Honda WR-V i-DTEC VX
2018,"56069 kms "," Diesel "," Manual",6.1,Honda Amaze VX i DTEC
2015,"56597 kms "," Diesel "," Manual",5.15,Honda City i DTEC V
2016,"59235 kms "," Diesel "," Manual",7.11,Honda BR-V i-DTEC S MT
2017,"59835 kms "," Diesel "," Manual",4.7,Honda WR-V i-DTEC S
2021,"60000 kms "," Diesel "," Manual",4.22,Honda Amaze S Diesel
2018,"60000 kms "," Diesel "," Manual",9.0,Honda City i-DTEC V
2018,"60000 kms "," Diesel "," Manual",9.0,Honda City i-DTEC V
2015,"60130 kms "," Diesel "," Manual",4.8,Honda Amaze VX i-DTEC
2018,"62312 kms "," Diesel "," Manual",5.5,Honda Amaze S i-DTEC
2015,"64000 kms "," Diesel "," Manual",5.49,Honda City i DTEC VX
2018,"64812 kms "," Diesel "," Manual",6.0,Honda Amaze S Option i-DT
2014,"66411 kms "," Diesel "," Manual",7.0,Honda City i DTEC VX
2016,"66731 kms "," Diesel "," Manual",5.71,Honda City i DTec VX Opti
2014,"66776 kms "," Diesel "," Manual",2.3,Honda Amaze S i-Dtech
2014,"67245 kms "," Diesel "," Manual",4.0,Honda City i DTEC SV
2015,"68000 kms "," Diesel "," Manual",5.3,Honda City i DTEC V
2014,"68978 kms "," Diesel "," Manual",2.8,Honda Amaze S i-Dtech
2014,"69900 kms "," Diesel "," Manual",4.25,Honda Amaze VX i-DTEC
2013,"70000 kms "," Diesel "," Manual",3.5,Honda Amaze E i-Dtech
2014,"70000 kms "," Diesel "," Manual",4.35,Honda City i DTEC V
2016,"70000 kms "," Diesel "," Manual",5.7,Honda Amaze S Diesel
2018,"70000 kms "," Diesel "," Manual",7.5,Honda WR-V i-DTEC VX
2014,"70000 kms "," Diesel "," Manual",3.0,Honda Amaze S i-Dtech
2015,"70000 kms "," Diesel "," Manual",6.15,Honda Jazz 1.5 VX i DTEC
2021,"70000 kms "," Diesel "," Manual",10.0,Honda WR-V VX Diesel
2014,"70262 kms "," Diesel "," Manual",5.5,Honda City i DTEC SV
2014,"71481 kms "," Diesel "," Manual",2.75,Honda Amaze S i-Dtech
2015,"71773 kms "," Diesel "," Manual",4.3,Honda City i DTEC VX
2013,"72071 kms "," Diesel "," Manual",4.5,Honda Amaze S i-Dtech
2017,"72718 kms "," Diesel "," Manual",5.0,Honda WR-V i-DTEC VX
2015,"72900 kms "," Diesel "," Manual",5.75,Honda Jazz 1.5 VX i DTEC
2017,"74000 kms "," Diesel "," Manual",8.25,Honda City i DTec V
2014,"74884 kms "," Diesel "," Manual",3.5,Honda Amaze S i-Dtech
2014,"75247 kms "," Diesel "," Manual",6.5,Honda City i DTEC VX
2015,"76670 kms "," Diesel "," Manual",4.36,Honda City i DTEC SV
2015,"77279 kms "," Diesel "," Manual",3.5,Honda Amaze S i-Dtech
2014,"78000 kms "," Diesel "," Manual",6.25,Honda Mobilio RS Option i
2019,"79000 kms "," Diesel "," Manual",17.2,Honda Civic VX Diesel
2014,"79074 kms "," Diesel "," Manual",5.85,Honda City i DTec VX
2014,"79303 kms "," Diesel "," Manual",2.0,Honda Amaze EX i-Dtech
2014,"79324 kms "," Diesel "," Manual",2.99,Honda Amaze S i-Dtech
2017,"79968 kms "," Diesel "," Manual",6.0,Honda Amaze E Option i-DT
2015,"80000 kms "," Diesel "," Manual",4.49,Honda Mobilio S i-DTEC
2014,"80000 kms "," Diesel "," Manual",4.8,Honda City i DTEC V
2014,"80000 kms "," Diesel "," Manual",5.45,Honda City i DTEC SV
2015,"80000 kms "," Diesel "," Manual",4.8,Honda Amaze SX i-DTEC
2015,"80000 kms "," Diesel "," Manual",4.5,Honda Mobilio RS i-DTEC
2014,"80000 kms "," Diesel "," Manual",4.6,Honda Amaze S i-Dtech
2014,"80000 kms "," Diesel "," Manual",5.0,Honda City i DTEC SV
2019,"80000 kms "," Diesel "," Manual",10.1,Honda WR-V i-DTEC VX
2018,"80286 kms "," Diesel "," Manual",6.7,Honda WR-V i-DTEC VX
2018,"81126 kms "," Diesel "," Manual",5.78,Honda Amaze E i-DTEC
2016,"82000 kms "," Diesel "," Manual",7.25,Honda City i DTec VX
2014,"82410 kms "," Diesel "," Manual",6.6,Honda City i DTEC S
2014,"82709 kms "," Diesel "," Manual",2.75,Honda Amaze S Diesel
2014,"84107 kms "," Diesel "," Manual",2.65,Honda Amaze E i-Dtech
2014,"84504 kms "," Diesel "," Manual",3.0,Honda Mobilio S i-DTEC
2015,"85000 kms "," Diesel "," Manual",4.95,Honda Mobilio E i-DTEC
2014,"85533 kms "," Diesel "," Manual",3.09,Honda City i DTEC SV
2015,"85949 kms "," Diesel "," Manual",5.05,Honda Amaze VX i-DTEC
2018,"87482 kms "," Diesel "," Manual",7.5,Honda WR-V i-DTEC S
2013,"88000 kms "," Diesel "," Manual",2.5,Honda Amaze S i-Dtech
2014,"88385 kms "," Diesel "," Manual",5.5,Honda City i DTEC V
2017,"88600 kms "," Diesel "," Manual",7.6,Honda WR-V i-DTEC VX
2017,"89861 kms "," Diesel "," Manual",7.25,Honda WR-V i-DTEC VX
2014,"90000 kms "," Diesel "," Manual",4.45,Honda City i DTEC VX
2018,"90000 kms "," Diesel "," Manual",7.5,Honda Amaze VX i DTEC
2018,"90000 kms "," Diesel "," Manual",6.5,Honda BR-V i-DTEC V MT
2014,"90962 kms "," Diesel "," Manual",3.5,Honda Mobilio V i-DTEC
2014,"91000 kms "," Diesel "," Manual",5.3,Honda City i DTEC V
2014,"91123 kms "," Diesel "," Manual",4.35,Honda City i DTEC VX
2014,"91332 kms "," Diesel "," Manual",2.3,Honda Amaze S i-Dtech
2014,"91828 kms "," Diesel "," Manual",2.88,Honda Amaze S i-Dtech
2016,"92000 kms "," Diesel "," Manual",6.5,Honda Jazz 1.5 S i DTEC
2014,"92509 kms "," Diesel "," Manual",5.0,Honda City i DTEC VX
2014,"94146 kms "," Diesel "," Manual",4.56,Honda Amaze S i-Dtech
2015,"95338 kms "," Diesel "," Manual",2.25,Honda Amaze S i-Dtech
2015,"96395 kms "," Diesel "," Manual",4.0,Honda City i DTEC V
2014,"97285 kms "," Diesel "," Manual",3.94,Honda City i DTEC V
2017,"97526 kms "," Diesel "," Manual",6.35,Honda WR-V i-DTEC VX
2014,"98243 kms "," Diesel "," Manual",5.62,Honda City i DTEC V
2017,"100000 kms "," Diesel "," Manual",8.25,Honda City i-DTEC ZX
2014,"100000 kms "," Diesel "," Manual",5.4,Honda City i DTEC V
2015,"100000 kms "," Diesel "," Manual",6.2,Honda City i DTEC VX Opti
2015,"100000 kms "," Diesel "," Manual",6.85,Honda City i DTEC V
2015,"100818 kms "," Diesel "," Manual",4.5,Honda City i DTEC E
2015,"101466 kms "," Diesel "," Manual",5.65,Honda City i DTEC S
2014,"104790 kms "," Diesel "," Manual",4.0,Honda City i DTEC SV
2015,"105773 kms "," Diesel "," Manual",3.5,Honda City i DTEC SV
2017,"106401 kms "," Diesel "," Manual",5.25,Honda WR-V i-DTEC VX
2015,"107252 kms "," Diesel "," Manual",2.9,Honda Amaze S i-Dtech
2015,"109839 kms "," Diesel "," Manual",5.5,Honda City i DTEC V
2013,"110000 kms "," Diesel "," Manual",2.0,Honda Amaze E i-Dtech
2018,"110000 kms "," Diesel "," Manual",5.7,Honda Amaze i-DTEC Privil
2018,"110000 kms "," Diesel "," Manual",7.5,Honda WR-V i-DTEC VX
2017,"110000 kms "," Diesel "," Manual",5.5,Honda Amaze i-DTEC Privil
2016,"110000 kms "," Diesel "," Manual",5.15,Honda Jazz 1.5 V i DTEC
2014,"110000 kms "," Diesel "," Manual",5.3,Honda City i DTEC VX
2013,"110000 kms "," Diesel "," Manual",2.3,Honda Amaze EX i-Dtech
2019,"110000 kms "," Diesel "," Manual",9.15,Honda WR-V i-DTEC VX
2014,"110000 kms "," Diesel "," Manual",3.5,Honda City i DTEC SV
2013,"110000 kms "," Diesel "," Manual",3.35,Honda Amaze EX i-Dtech
2013,"110000 kms "," Diesel "," Manual",3.35,Honda Amaze EX i-Dtech
2014,"110481 kms "," Diesel "," Manual",5.0,Honda City i DTEC E
2015,"110586 kms "," Diesel "," Manual",5.4,Honda City i DTEC SV
2014,"110697 kms "," Diesel "," Manual",4.04,Honda City i DTEC SV
2014,"112306 kms "," Diesel "," Manual",5.2,Honda City i DTEC S
2015,"112403 kms "," Diesel "," Manual",3.0,Honda Amaze S i-Dtech
2014,"113136 kms "," Diesel "," Manual",2.73,Honda Amaze S i-Dtech
2013,"113924 kms "," Diesel "," Manual",3.0,Honda Amaze S i-Dtech
2013,"114565 kms "," Diesel "," Manual",2.12,Honda Amaze S i-Dtech
